,Wban Number, YearMonthDay, Avg Temp
0,3013,20030101,29
4075,12815,20030101,66
4724,12884,20030101,52
14096,24013,20030101,19
5002,12916,20030101,53
217,3029,20030101,25
1043,3811,20030101,43
5715,13728,20030101,56
5932,13739,20030101,44
6056,13744,20030101,60
14034,24011,20030101,18
6118,13764,20030101,55
1012,3810,20030101,53
6180,13781,20030101,45
13168,23176,20030101,30
6304,13833,20030101,48
1074,3812,20030101,51
14189,24018,20030101,30
4044,12812,20030101,68
3985,11640,20030101,79
1198,3820,20030101,56
3303,4836,20030101,20
16544,25308,20030101,46
3365,4839,20030101,26
3396,4840,20030101,24
3458,4842,20030101,32
124,3026,20030101,23
1444,3870,20030101,55
1167,3818,20030101,52
3551,4846,20030101,30
14963,24126,20030101,30
3582,4847,20030101,30
1136,3816,20030101,39
11227,14935,20030101,31
14902,24110,20030101,34
3799,4854,20030101,20
3489,4843,20030101,30
3272,4826,20030101,21
6366,13838,20030101,50
11993,23009,20030101,45
9646,14787,20030101,41
279,3031,20030101,48
431,3131,20030101,56
9677,14792,20030101,41
9708,14794,20030101,41
11351,14939,20030101,31
10731,14910,20030101,20
10762,14913,20030101,15
11289,14937,20030101,28
338,3102,20030101,55
10793,14914,20030101,20
11134,14929,20030101,28
11196,14933,20030101,29
11258,14936,20030101,31
310,3032,20030101,59
9429,14765,20030101,41
9367,14763,20030101,36
11382,14940,20030101,23
462,3144,20030101,55
7357,13939,20030101,43
8411,14605,20030101,30
8442,14606,20030101,28
11752,21510,20030101,74
248,3030,20030101,34
8566,14702,20030101,38
554,3162,20030101,37
674,3170,20030101,23
8593,14707,20030101,41
8810,14734,20030101,42
524,3160,20030101,44
8934,14739,20030101,40
8965,14740,20030101,38
11413,14941,20030101,30
9027,14745,20030101,30
9181,14752,20030101,37
8624,14710,20030101,34
16575,25309,20030101,36
3613,4848,20030101,31
2808,4112,20030101,11
2963,4725,20030101,34
2839,4113,20030101,39
1692,3894,20030101,46
2064,3947,20030101,31
19927,54740,20030101,34
1785,3919,20030101,34
2777,4111,20030101,20
1291,3849,20030101,48
1384,3860,20030101,44
22015,93706,20030101,42
2746,4110,20030101,30
19958,54742,20030101,28
1847,3928,20030101,34
2715,4109,20030101,36
1878,3932,20030101,39
2343,3966,20030101,35
1322,3856,20030101,50
19989,54743,20030101,40
2002,3940,20030101,44
3241,4808,20030101,29
2281,3963,20030101,35
2219,3960,20030101,35
20206,54771,20030101,28
2126,3953,20030101,40
62,3017,20030101,32
22139,93721,20030101,44
1661,3893,20030101,36
1353,3859,20030101,50
3087,4781,20030101,41
1506,3878,20030101,52
93,3024,20030101,38
1599,3888,20030101,54
19803,54728,20030101,28
3210,4804,20030101,35
1630,3889,20030101,44
1260,3847,20030101,51
3179,4803,20030101,14
1229,3822,20030101,59
3149,4789,20030101,36
1568,3887,20030101,33
2994,4726,20030101,38
1415,3868,20030101,35
16606,25323,20030101,34
1631,3889,20030102,39
1879,3932,20030102,42
8935,14739,20030102,30
8811,14734,20030102,33
1507,3878,20030102,56
11135,14929,20030102,25
11197,14933,20030102,25
311,3032,20030102,48
8625,14710,20030102,25
2003,3940,20030102,43
8594,14707,20030102,34
1354,3859,20030102,43
525,3160,20030102,47
1569,3887,20030102,28
9028,14745,20030102,20
1848,3928,20030102,33
9678,14792,20030102,34
9709,14794,20030102,33
1662,3893,20030102,29
432,3131,20030102,60
9647,14787,20030102,33
1693,3894,20030102,38
10732,14910,20030102,20
9430,14765,20030102,33
8966,14740,20030102,29
9368,14763,20030102,23
1385,3860,20030102,38
339,3102,20030102,59
1416,3868,20030102,29
463,3144,20030102,55
9182,14752,20030102,29
1786,3919,20030102,33
1600,3888,20030102,52
10794,14914,20030102,23
10763,14913,20030102,20
3242,4808,20030102,29
6367,13838,20030102,55
8567,14702,20030102,28
2840,4113,20030102,46
3986,11640,20030102,80
3800,4854,20030102,19
2964,4725,20030102,25
3614,4848,20030102,26
1261,3847,20030102,41
1137,3816,20030102,34
3583,4847,20030102,24
3552,4846,20030102,27
2995,4726,20030102,30
3490,4843,20030102,27
3459,4842,20030102,29
3088,4781,20030102,34
1168,3818,20030102,58
3150,4789,20030102,27
3397,4840,20030102,27
1230,3822,20030102,54
3366,4839,20030102,25
3304,4836,20030102,0
3180,4803,20030102,22
1199,3820,20030102,50
3273,4826,20030102,20
3211,4804,20030102,31
4045,12812,20030102,66
555,3162,20030102,35
1075,3812,20030102,45
4076,12815,20030102,63
2065,3947,20030102,29
8443,14606,20030102,18
8412,14605,20030102,20
2127,3953,20030102,36
7358,13939,20030102,40
2220,3960,20030102,31
675,3170,20030102,28
2282,3963,20030102,27
1323,3856,20030102,41
6181,13781,20030102,39
2344,3966,20030102,29
1013,3810,20030102,45
6119,13764,20030102,43
2716,4109,20030102,36
6057,13744,20030102,50
5933,13739,20030102,37
5716,13728,20030102,46
2747,4110,20030102,30
1292,3849,20030102,40
1044,3811,20030102,38
5003,12916,20030102,51
4725,12884,20030102,56
2778,4111,20030102,23
2809,4112,20030102,27
11228,14935,20030102,28
6305,13833,20030102,47
1445,3870,20030102,50
19990,54743,20030102,31
14035,24011,20030102,20
11290,14937,20030102,30
11352,14939,20030102,31
19959,54742,20030102,19
218,3029,20030102,24
19928,54740,20030102,20
11383,14940,20030102,20
13169,23176,20030102,30
14097,24013,20030102,27
94,3024,20030102,42
14190,24018,20030102,35
16607,25323,20030102,30
14903,24110,20030102,41
16576,25309,20030102,35
280,3031,20030102,41
16545,25308,20030102,47
125,3026,20030102,23
19804,54728,20030102,14
63,3017,20030102,37
14964,24126,20030102,0
11753,21510,20030102,74
20207,54771,20030102,16
249,3030,20030102,38
22140,93721,20030102,39
11259,14936,20030102,28
22016,93706,20030102,36
11994,23009,20030102,41
11414,14941,20030102,29
1,3013,20030102,24
3584,4847,20030103,24
8626,14710,20030103,23
126,3026,20030103,37
3987,11640,20030103,80
14191,24018,20030103,47
3801,4854,20030103,18
3615,4848,20030103,25
3553,4846,20030103,26
250,3030,20030103,48
556,3162,20030103,36
11229,14935,20030103,39
1076,3812,20030103,36
1138,3816,20030103,28
8595,14707,20030103,33
8568,14702,20030103,28
3491,4843,20030103,29
3460,4842,20030103,26
8444,14606,20030103,20
6306,13833,20030103,39
14098,24013,20030103,36
6182,13781,20030103,39
6368,13838,20030103,42
676,3170,20030103,38
13170,23176,20030103,42
1014,3810,20030103,41
6120,13764,20030103,44
6058,13744,20030103,48
11995,23009,20030103,42
4046,12812,20030103,M    
14036,24011,20030103,32
7359,13939,20030103,37
219,3029,20030103,29
1045,3811,20030103,31
5004,12916,20030103,45
8413,14605,20030103,20
11754,21510,20030103,74
4726,12884,20030103,45
4077,12815,20030103,56
5934,13739,20030103,37
5717,13728,20030103,43
1200,3820,20030103,44
14965,24126,20030103,37
1324,3856,20030103,33
19991,54743,20030103,30
2221,3960,20030103,27
2128,3953,20030103,34
64,3017,20030103,48
2066,3947,20030103,31
1355,3859,20030103,30
2004,3940,20030103,36
1880,3932,20030103,46
20208,54771,20030103,23
1849,3928,20030103,36
2283,3963,20030103,21
1787,3919,20030103,38
1386,3860,20030103,34
1694,3894,20030103,30
1663,3893,20030103,27
1632,3889,20030103,34
22141,93721,20030103,38
1417,3868,20030103,25
1601,3888,20030103,40
1570,3887,20030103,23
1508,3878,20030103,38
2,3013,20030103,31
1446,3870,20030103,43
22017,93706,20030103,33
2345,3966,20030103,24
19960,54742,20030103,23
2717,4109,20030103,40
3398,4840,20030103,22
3367,4839,20030103,28
3305,4836,20030103,11
16546,25308,20030103,48
11723,21504,20030103,72
3274,4826,20030103,20
3243,4808,20030103,25
16577,25309,20030103,36
3212,4804,20030103,26
3181,4803,20030103,17
16608,25323,20030103,31
1231,3822,20030103,50
3151,4789,20030103,25
3089,4781,20030103,34
2996,4726,20030103,27
95,3024,20030103,47
1262,3847,20030103,31
2965,4725,20030103,25
19805,54728,20030103,21
2841,4113,20030103,48
2810,4112,20030103,33
2779,4111,20030103,34
19929,54740,20030103,21
1293,3849,20030103,34
2748,4110,20030103,40
1169,3818,20030103,40
8812,14734,20030103,32
14904,24110,20030103,44
11198,14933,20030103,25
11291,14937,20030103,25
10764,14913,20030103,17
11260,14936,20030103,37
281,3031,20030103,44
10795,14914,20030103,26
11136,14929,20030103,32
340,3102,20030103,63
11415,14941,20030103,40
9029,14745,20030103,21
9369,14763,20030103,23
9679,14792,20030103,33
9431,14765,20030103,32
433,3131,20030103,64
8967,14740,20030103,26
464,3144,20030103,57
8936,14739,20030103,32
11353,14939,20030103,35
9183,14752,20030103,26
312,3032,20030103,50
9648,14787,20030103,34
526,3160,20030103,52
11384,14940,20030103,22
9710,14794,20030103,33
10733,14910,20030103,21
3306,4836,20030104,15
3368,4839,20030104,28
1201,3820,20030104,38
3275,4826,20030104,21
16547,25308,20030104,47
527,3160,20030104,50
3244,4808,20030104,24
282,3031,20030104,48
3213,4804,20030104,28
9680,14792,20030104,34
16578,25309,20030104,41
3182,4803,20030104,17
434,3131,20030104,65
14966,24126,20030104,0
3461,4842,20030104,25
1170,3818,20030104,40
1046,3811,20030104,38
5005,12916,20030104,46
4727,12884,20030104,45
9184,14752,20030104,32
4078,12815,20030104,47
14099,24013,20030104,34
4047,12812,20030104,52
1077,3812,20030104,32
3988,11640,20030104,81
9370,14763,20030104,25
14192,24018,20030104,41
3802,4854,20030104,15
3616,4848,20030104,26
14905,24110,20030104,39
11354,14939,20030104,40
1139,3816,20030104,36
3585,4847,20030104,27
3554,4846,20030104,20
9432,14765,20030104,34
3492,4843,20030104,25
127,3026,20030104,35
1232,3822,20030104,41
9649,14787,20030104,35
3399,4840,20030104,23
3152,4789,20030104,32
1263,3847,20030104,30
3090,4781,20030104,34
1356,3859,20030104,22
2005,3940,20030104,42
1881,3932,20030104,49
11261,14936,20030104,39
20209,54771,20030104,21
1850,3928,20030104,46
1788,3919,20030104,47
11137,14929,20030104,35
1387,3860,20030104,31
22018,93706,20030104,30
19992,54743,20030104,32
1695,3894,20030104,35
11199,14933,20030104,36
1633,3889,20030104,30
22142,93721,20030104,33
313,3032,20030104,51
1418,3868,20030104,24
1602,3888,20030104,39
1571,3887,20030104,23
3,3013,20030104,35
1509,3878,20030104,39
1447,3870,20030104,40
1664,3893,20030104,26
16609,25323,20030104,39
10796,14914,20030104,29
65,3017,20030104,43
2997,4726,20030104,22
9711,14794,20030104,35
96,3024,20030104,46
2966,4725,20030104,25
2842,4113,20030104,45
10734,14910,20030104,28
19806,54728,20030104,21
2811,4112,20030104,33
2780,4111,20030104,34
11292,14937,20030104,26
2067,3947,20030104,44
19930,54740,20030104,26
2749,4110,20030104,39
2718,4109,20030104,37
341,3102,20030104,63
2346,3966,20030104,28
19961,54742,20030104,24
2284,3963,20030104,31
10765,14913,20030104,24
1325,3856,20030104,36
2222,3960,20030104,30
2129,3953,20030104,42
1294,3849,20030104,32
465,3144,20030104,61
11230,14935,20030104,39
11755,21510,20030104,78
6307,13833,20030104,42
6121,13764,20030104,36
557,3162,20030104,37
14037,24011,20030104,35
11724,21504,20030104,72
